Address; Price; Area; Bath; Bed
3504 Black Granite Dr, Austin, TX 78744; $350,000; 1,463; 2; 3
7601 Daffan Lane #047 Plan, Oak Crest; $109,995+; 1,216; 2; 3
9717 Meadowheath Dr, Austin, TX 78729; $339,900; 1,420; 2; 3
10506 Little Pebble Dr #A, Austin, TX 78758; $323,000; 1,069; 2; 3
1618 Lawnside Rd, San Antonio, TX 78245; $374,998; 2,451; 3; 4
4509 Kind Way, Austin, TX 78725; $279,000; 1,302; 3; 3
9017 Frostwood Trl, Austin, TX 78729; $450,000; 2,709; 3; 4
1600 S 1st St #315, Austin, TX 78704; $194,898; 435; 1; 1
2512 Sunny Hills Dr #27, Austin, TX 78744; $124,900; 1,568; 2; 3
2124 Burton Dr APT 127, Austin, TX 78741; $169,900; 802; 2; 2
3300 Barksdale Dr, Austin, TX 78725; $379,999; 2,345; 3; 4
2500 Burleson Rd APT 618, Austin, TX 78741; $194,000; 535; 1; 2
14920 Ben Davis Dr, Austin, TX 78725; $299,999; 1,464; 2; 3
7303 Glenhill Rd, Austin, TX 78752; $495,000; 1,301; 2; 3
5405 Teri Rd, Austin, TX 78744; $359,000; 1,551; 2; 4
4511 Inicio Ln #356, Austin, TX 78725; $275,000; 1,346; 2; 3
4502 Kind Way, Austin, TX 78725; $265,000; 1,302; 3; 3
8517 Deja Ave, Austin, TX 78747; $259,900; 1,084; 2; 2
14917 Babbling Brook Drive, Austin, TX 78728; $350,000; 1,610; 2; 3
4700 Prock Ln #A, Austin, TX 78721; $249,400; 764; 2; 2
400 Philco Dr, Austin, TX 78745; $470,000; 1,196; 1; 3
5921 Little Creek Trl, Austin, TX 78744; $250,000; 1,080; 2; 3
7002 Whispering Creek Dr, Austin, TX 78736; $689,000; 1,793; 2; 3
1212 Guadalupe St APT 505, Austin, TX 78701; $425,000; 954; 2; 2
7337 Menchaca Rd #19, Austin, TX 78745; $495,000; 2,268; 3; 4
5613 Kleberg Trl, Austin, TX 78747; $299,000; 1,643; 2; 3
1203 Radcliff Dr, Austin, TX 78752; $580,000; 2,620; 4; 6
12318 Marogot Run, Austin, TX 78758; $300,000; 1,034; 2; 2
1108 Austin Highlands Blvd, Austin, TX 78745; $380,000; 994; 2; 3
5205 Calais Ct, Austin, TX 78745; $505,000; 1,656; 2; 4
11310 Spicewood Club Dr APT 2, Austin, TX 78750; $350,000; 1,615; 3; 2
10511 Man O War Ave, Austin, TX 78719; $439,900; 2,386; 4; 7
2316 Rio Mesa Dr, Austin, TX 78732; $699,000; 2,673; 3; 3
2948 Eckert St, Austin, TX 78722; $399,000; 853; 1; 2
6207 John Chisum Ln, Austin, TX 78749; $599,000; 2,031; 3; 3
5816 Abilene Trl, Austin, TX 78749; $495,000; 1,845; 3; 4
5902 Dunbury Dr, Austin, TX 78723; $870,000; 2,548; 3; 4
12400 Cedar St, Austin, TX 78732; $19,500,000; 15,394; 13; 6
903 Acorn Oaks Dr, Austin, TX 78745; $569,999; 1,359; 2; 3
4507 Avenue D, Austin, TX 78751; $600,000; 1,036; 2; 2
16822 Whitebrush Loop, Austin, TX 78717; $320,000; 1,200; 2; 3
